Accident_Index,Accident Date,Month,Year,Day_of_Week,Junction_Control,Junction_Detail,Accident_Severity,Latitude,Light_Conditions,Local_Authority_(District),Carriageway_Hazards,Longitude,Number_of_Casualties,Number_of_Vehicles,Police_Force,Road_Surface_Conditions,Road_Type,Speed_limit,Time,Urban_or_Rural_Area,Weather_Conditions,Vehicle_Type
200901BS70541,23-09-2021,Sep,2021,Wednesday,Give way or uncontrolled,Crossroads,Slight,51.488425,Darkness - lights lit,Kensington and Chelsea,None,-0.176936,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,20:59,Urban,Raining no high winds,Car
200901BS70542,15-09-2021,Sep,2021,Tuesday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.501398,Darkness - lights lit,Kensington and Chelsea,None,-0.161145,1,1,Metropolitan Police,Dry,Single carriageway,30,19:05,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
200901BS70543,26-09-2021,Sep,2021,Saturday,Give way or uncontrolled,T or staggered junction,Slight,51.519107,Daylight,Kensington and Chelsea,None,-0.218953,1,2,Metropolitan Police,Dry,Single carriageway,30,18:08,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
200901BS70544,25-09-2021,Sep,2021,Friday,Auto traffic signal,Crossroads,Slight,51.495202,Daylight,Kensington and Chelsea,None,-0.178971,1,2,Metropolitan Police,Dry,Dual carriageway,30,08:50,Urban,Fine no high winds,Car
200901BS70545,14-09-2021,Sep,2021,Monday,Give way or uncontrolled,T or staggered junction,Slight,51.505849,Daylight,Kensington and Chelsea,None,-0.210536,1,2,Metropolitan Police,Dry,Single carriageway,30,10:00,Urban,Fine no high winds,Car
200901BS70547,28-09-2021,Sep,2021,Monday,Give way or uncontrolled,Crossroads,Slight,51.522177,Daylight,Kensington and Chelsea,None,-0.208022,1,2,Metropolitan Police,Dry,Single carriageway,30,12:00,Urban,Fine no high winds,Motorcycle over 500cc
200901BS70548,10-06-2021,Jun,2021,Wednesday,Data missing or out of range,Not at junction or within 20 metres,Serious,51.494633,Daylight,Kensington and Chelsea,None,-0.194552,1,2,Metropolitan Police,Dry,Single carriageway,30,09:30,Urban,Fine no high winds,Other vehicle
200901BS70550,30-09-2021,Sep,2021,Wednesday,Give way or uncontrolled,Roundabout,Serious,51.515102,Darkness - lights lit,Hammersmith and Fulham,None,-0.221704,3,2,Metropolitan Police,Dry,Roundabout,40,19:25,Urban,Fine no high winds,Car
200901BS70551,02-10-2021,Oct,2021,Friday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.515887,Darkness - lights lit,Kensington and Chelsea,None,-0.214179,1,2,Metropolitan Police,Dry,Single carriageway,30,21:15,Urban,Fine no high winds,Car
200901BS70552,02-10-2021,Oct,2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.494069,Daylight,Kensington and Chelsea,None,-0.158271,1,2,Metropolitan Police,Dry,Single carriageway,30,18:10,Urban,Fine no high winds,Car
200901BS70553,30-09-2021,Sep,2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,51.496577,Darkness - lights lit,Kensington and Chelsea,None,-0.192314,1,2,Metropolitan Police,Dry,Single carriageway,30,18:50,Urban,Fine no high winds,Car
200901BS70554,01-10-2021,Oct,2021,Thursday,Give way or uncontrolled,T or staggered junction,Slight,51.490998,Darkness - lights lit,Kensington and Chelsea,None,-0.163149,1,2,Metropolitan Police,Dry,Single carriageway,30,00:30,Urban,Fine no high winds,Car
200901BS70555,30-09-2021,Sep,2021,Wednesday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.488785,Daylight,Kensington and Chelsea,None,-0.165398,1,1,Metropolitan Police,Dry,Single carriageway,30,16:40,Urban,Fine no high winds,Car
200901BS70556,02-10-2021,Oct,2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.493435,Darkness - lights lit,Kensington and Chelsea,None,-0.158008,1,1,Metropolitan Police,Dry,Single carriageway,30,02:47,Urban,Fine no high winds,Car
200901BS70557,03-10-2021,Oct,2021,Saturday,Give way or uncontrolled,Crossroads,Slight,51.515955,Daylight,Kensington and Chelsea,None,-0.212735,1,2,Metropolitan Police,Dry,Single carriageway,30,17:22,Urban,Fine + high winds,Car
200901BS70558,02-10-2021,Oct,2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.492209,Darkness - lights lit,Kensington and Chelsea,None,-0.165837,1,2,Metropolitan Police,Dry,Single carriageway,30,21:14,Urban,Fine no high winds,Car
200901BS70559,28-09-2021,Sep,2021,Monday,Give way or uncontrolled,T or staggered junction,Serious,51.493919,Daylight,Kensington and Chelsea,None,-0.177437,1,2,Metropolitan Police,Dry,Single carriageway,30,08:40,Urban,Fine no high winds,Motorcycle 125cc and under
200901BS70560,22-09-2021,Sep,2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,51.48046,Daylight,Kensington and Chelsea,None,-0.185175,1,2,Metropolitan Police,Dry,Single carriageway,30,16:00,Urban,Fine no high winds,Motorcycle over 500cc
200901BS70561,22-09-2021,Sep,2021,Tuesday,Data missing or out of range,Not at junction or within 20 metres,Serious,51.514245,Daylight,Kensington and Chelsea,None,-0.212657,1,1,Metropolitan Police,Dry,Single carriageway,30,11:10,Urban,Fine no high winds,Car
200901BS70562,06-10-2021,Oct,2021,Tuesday,Auto traffic signal,T or staggered junction,Slight,51.49566,Daylight,Kensington and Chelsea,Other object on road,-0.173766,1,2,Metropolitan Police,Dry,Single carriageway,30,17:36,Urban,Fine no high winds,Bus or coach (17 or more pass seats)
200901BS70563,06-10-2021,Oct,2021,Tuesday,Give way or uncontrolled,T or staggered junction,Serious,51.515849,Daylight,Kensington and Chelsea,None,-0.217639,1,1,Metropolitan Police,Dry,Single carriageway,30,16:45,Urban,Fine no high winds,Car
200901BS70564,29-09-2021,Sep,2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,51.522078,Daylight,Westminster,None,-0.201539,1,2,Metropolitan Police,Dry,Single carriageway,30,10:20,Urban,Fine no high winds,Car
200901BS70565,12-10-2021,Oct,2021,Monday,Auto traffic signal,T or staggered junction,Slight,51.493335,Darkness - lights lit,Kensington and Chelsea,None,-0.168817,1,1,Metropolitan Police,Dry,Single carriageway,30,00:16,Urban,Fine no high winds,Car
200901BS70566,09-10-2021,Oct,2021,Friday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.506866,Daylight,Kensington and Chelsea,None,-0.206462,1,1,Metropolitan Police,Dry,Single carriageway,30,12:23,Urban,Fine no high winds,Car
200901BS70567,09-10-2021,Oct,2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.49293,Daylight,Kensington and Chelsea,None,-0.165952,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,17:00,Urban,Raining no high winds,Car
200901BS70568,01-10-2021,Oct,2021,Thursday,Auto traffic signal,Crossroads,Slight,51.509374,Daylight,Kensington and Chelsea,None,-0.194114,1,2,Metropolitan Police,Dry,Single carriageway,30,12:00,Urban,Fine no high winds,Car
200901BS70569,27-09-2021,Sep,2021,Sunday,Give way or uncontrolled,T or staggered junction,Serious,51.484195,Daylight,Kensington and Chelsea,None,-0.159389,1,2,Metropolitan Police,Dry,Single carriageway,30,07:15,Urban,Fine no high winds,Motorcycle over 500cc
200901BS70570,10-10-2021,Oct,2021,Saturday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.485178,Daylight,Kensington and Chelsea,None,-0.187868,1,2,Metropolitan Police,Dry,Single carriageway,30,14:20,Urban,Fine no high winds,Car
200901BS70571,04-10-2021,Oct,2021,Sunday,Give way or uncontrolled,T or staggered junction,Slight,51.49105,Daylight,Kensington and Chelsea,None,-0.160698,1,1,Metropolitan Police,Dry,Single carriageway,30,10:50,Urban,Fine no high winds,Car
200901BS70572,01-10-2021,Oct,2021,Thursday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.518024,Daylight,Kensington and Chelsea,None,-0.206888,1,1,Metropolitan Police,Dry,Single carriageway,30,15:50,Urban,Fine no high winds,Car
200901BS70573,12-10-2021,Oct,2021,Monday,Give way or uncontrolled,T or staggered junction,Slight,51.506097,Daylight,Kensington and Chelsea,None,-0.209086,1,2,Metropolitan Police,Dry,Single carriageway,30,10:50,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
200901BS70574,09-10-2021,Oct,2021,Friday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.495355,Daylight,Kensington and Chelsea,None,-0.177236,1,2,Metropolitan Police,Dry,Single carriageway,30,09:35,Urban,Fine no high winds,Car
200901BS70576,04-10-2021,Oct,2021,Sunday,Auto traffic signal,Crossroads,Slight,51.495658,Daylight,Kensington and Chelsea,None,-0.173622,2,2,Metropolitan Police,Dry,Dual carriageway,30,14:50,Urban,Fine no high winds,Car
200901BS70577,12-10-2021,Oct,2021,Monday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.481908,Darkness - lights lit,Kensington and Chelsea,None,-0.174172,1,2,Metropolitan Police,Dry,Single carriageway,30,19:00,Urban,Fine no high winds,Car
200901BS70578,08-10-2021,Oct,2021,Thursday,Give way or uncontrolled,T or staggered junction,Slight,51.49868,Daylight,Kensington and Chelsea,None,-0.165577,1,2,Metropolitan Police,Dry,Single carriageway,30,08:45,Urban,Fine no high winds,Car
200901BS70579,12-10-2021,Oct,2021,Monday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.494696,Daylight,Kensington and Chelsea,None,-0.192821,1,2,Metropolitan Police,Dry,Single carriageway,30,16:40,Urban,Fine no high winds,Car
200901BS70580,13-10-2021,Oct,2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,51.498826,Darkness - lights lit,Kensington and Chelsea,None,-0.19237,1,2,Metropolitan Police,Dry,Single carriageway,30,20:59,Urban,Fine no high winds,Car
200901BS70581,09-10-2021,Oct,2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.499024,Daylight,Kensington and Chelsea,None,-0.164555,1,2,Metropolitan Police,Dry,Single carriageway,30,14:50,Urban,Fine no high winds,Car
200901BS70583,27-09-2021,Sep,2021,Sunday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.497372,Daylight,Kensington and Chelsea,None,-0.156697,1,2,Metropolitan Police,Dry,Single carriageway,30,13:20,Urban,Fine no high winds,Bus or coach (17 or more pass seats)
200901BS70584,13-10-2021,Oct,2021,Tuesday,Auto traffic signal,T or staggered junction,Slight,51.49806,Daylight,Kensington and Chelsea,None,-0.166178,1,1,Metropolitan Police,Dry,Single carriageway,30,14:30,Urban,Fine no high winds,Car
200901BS70585,13-10-2021,Oct,2021,Tuesday,Auto traffic signal,Crossroads,Slight,51.481575,Daylight,Kensington and Chelsea,None,-0.181674,1,1,Metropolitan Police,Dry,Single carriageway,30,13:45,Urban,Fine no high winds,Car
200901BS70586,12-10-2021,Oct,2021,Monday,Give way or uncontrolled,T or staggered junction,Slight,51.486213,Darkness - lights lit,Kensington and Chelsea,None,-0.173423,1,2,Metropolitan Police,Dry,Single carriageway,30,21:00,Urban,Fine no high winds,Car
200901BS70588,15-10-2021,Oct,2021,Thursday,Give way or uncontrolled,T or staggered junction,Slight,51.495501,Daylight,Kensington and Chelsea,None,-0.175069,1,1,Metropolitan Police,Dry,Single carriageway,30,12:09,Urban,Fine no high winds,Car
200901BS70589,18-10-2021,Oct,2021,Sunday,Give way or uncontrolled,T or staggered junction,Slight,51.490991,Daylight,Kensington and Chelsea,None,-0.197433,1,2,Metropolitan Police,Dry,One way street,30,13:23,Urban,Fine no high winds,Car
200901BS70590,17-10-2021,Oct,2021,Saturday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.498584,Darkness - lights lit,Kensington and Chelsea,None,-0.200015,1,2,Metropolitan Police,Dry,Dual carriageway,30,22:10,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
200901BS70593,19-10-2021,Oct,2021,Monday,Give way or uncontrolled,Roundabout,Serious,51.523977,Darkness - lights lit,Kensington and Chelsea,None,-0.214006,1,2,Metropolitan Police,Dry,Roundabout,30,20:01,Urban,Fine no high winds,Car
200901BS70594,09-10-2021,Oct,2021,Friday,Auto traffic signal,T or staggered junction,Slight,51.494682,Daylight,Kensington and Chelsea,None,-0.186051,1,3,Metropolitan Police,Dry,Single carriageway,30,16:20,Urban,Fine no high winds,Car
200901BS70595,19-10-2021,Oct,2021,Monday,Give way or uncontrolled,T or staggered junction,Slight,51.492589,Darkness - lights lit,Kensington and Chelsea,None,-0.178643,1,3,Metropolitan Police,Dry,Dual carriageway,30,18:40,Urban,Fine no high winds,Car
200901BS70596,31-08-2021,Aug,2021,Monday,Data missing or out of range,Not at junction or within 20 metres,Serious,51.524001,Daylight,Kensington and Chelsea,None,-0.215591,1,1,Metropolitan Police,Dry,Single carriageway,30,10:00,Urban,Fine no high winds,Car
200901BS70597,20-10-2021,Oct,2021,Tuesday,Give way or uncontrolled,Roundabout,Slight,51.518348,Darkness - lights lit,Kensington and Chelsea,None,-0.216388,2,2,Metropolitan Police,Dry,Roundabout,30,00:04,Urban,Fine no high winds,Goods 7.5 tonnes mgw and over
200901BS70598,20-10-2021,Oct,2021,Tuesday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.493004,Darkness - lights lit,Kensington and Chelsea,None,-0.176465,1,2,Metropolitan Police,Dry,Single carriageway,30,19:27,Urban,Fine no high winds,Goods 7.5 tonnes mgw and over
200901BS70599,13-10-2021,Oct,2021,Tuesday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.521375,Daylight,Kensington and Chelsea,None,-0.202576,1,2,Metropolitan Police,Dry,Dual carriageway,40,15:00,Urban,Fine no high winds,Motorcycle over 500cc
200901BS70600,25-09-2021,Sep,2021,Friday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.495301,Daylight,Kensington and Chelsea,None,-0.191212,1,1,Metropolitan Police,Dry,One way street,30,15:45,Urban,Fine no high winds,Car
200901BS70601,22-10-2021,Oct,2021,Thursday,Auto traffic signal,T or staggered junction,Slight,51.49999,Darkness - lights lit,Westminster,None,-0.174602,1,2,Metropolitan Police,Dry,Dual carriageway,30,21:05,Urban,Other,Car
200901BS70602,23-10-2021,Oct,2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.522888,Darkness - lights lit,Kensington and Chelsea,None,-0.213328,1,2,Metropolitan Police,Dry,Single carriageway,30,21:00,Urban,Fine no high winds,Motorcycle over 125cc and up to 500cc
200901BS70603,24-10-2021,Oct,2021,Saturday,Auto traffic signal,Crossroads,Slight,51.483071,Daylight,Kensington and Chelsea,None,-0.185359,3,4,Metropolitan Police,Dry,One way street,30,14:15,Urban,Fine no high winds,Car
200901BS70604,16-10-2021,Oct,2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.491,Daylight,Kensington and Chelsea,None,-0.163292,1,2,Metropolitan Police,Dry,Single carriageway,30,11:50,Urban,Fine no high winds,Car
200901BS70605,23-10-2021,Oct,2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.49105,Daylight,Kensington and Chelsea,None,-0.160698,1,1,Metropolitan Police,Dry,Single carriageway,30,09:10,Urban,Fine no high winds,Car
200901BS70606,21-10-2021,Oct,2021,Wednesday,Auto traffic signal,Crossroads,Slight,51.495658,Darkness - lights lit,Kensington and Chelsea,None,-0.173622,1,2,Metropolitan Police,Dry,Dual carriageway,30,20:30,Urban,Fine no high winds,Car
200901BS70607,16-10-2021,Oct,2021,Friday,Give way or uncontrolled,Private drive or entrance,Slight,51.487369,Daylight,Kensington and Chelsea,None,-0.195848,1,2,Metropolitan Police,Dry,Single carriageway,30,08:25,Urban,Fine no high winds,Goods over 3.5t. and under 7.5t
200901BS70608,04-10-2021,Oct,2021,Sunday,Auto traffic signal,T or staggered junction,Serious,51.507804,Daylight,Kensington and Chelsea,None,-0.20311,1,2,Metropolitan Police,Dry,Dual carriageway,30,16:30,Urban,Fine no high winds,Car
200901BS70609,13-10-2021,Oct,2021,Tuesday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.493109,Daylight,Kensington and Chelsea,None,-0.183232,1,2,Metropolitan Police,Dry,Single carriageway,30,13:00,Urban,Fine no high winds,Car
200901BS70610,13-10-2021,Oct,2021,Tuesday,Auto traffic signal,Crossroads,Slight,51.496515,Daylight,Kensington and Chelsea,None,-0.205859,1,2,Metropolitan Police,Dry,Single carriageway,30,08:45,Urban,Fine no high winds,Car
200901BS70611,05-06-2021,Jun,2021,Friday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.522278,Daylight,Kensington and Chelsea,None,-0.202829,1,9,Metropolitan Police,Dry,Single carriageway,30,13:40,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
200901BS70613,21-10-2021,Oct,2021,Wednesday,Give way or uncontrolled,T or staggered junction,Serious,51.489313,Daylight,Kensington and Chelsea,None,-0.181942,1,2,Metropolitan Police,Dry,Single carriageway,30,08:55,Urban,Fine no high winds,Car
200901BS70614,26-10-2021,Oct,2021,Monday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.489858,Darkness - lights lit,Kensington and Chelsea,None,-0.188115,1,2,Metropolitan Police,Dry,Single carriageway,30,20:35,Urban,Fine no high winds,Car
200901BS70615,28-10-2021,Oct,2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,51.488958,Daylight,Kensington and Chelsea,None,-0.164959,1,2,Metropolitan Police,Dry,Single carriageway,30,15:43,Urban,Fine no high winds,Car
200901BS70616,30-10-2021,Oct,2021,Friday,Give way or uncontrolled,More than 4 arms (not roundabout),Slight,51.494593,Daylight,Kensington and Chelsea,None,-0.168767,2,2,Metropolitan Police,Dry,Single carriageway,30,13:40,Urban,Fine no high winds,Car
200901BS70617,30-10-2021,Oct,2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.497106,Daylight,Kensington and Chelsea,None,-0.19748,1,2,Metropolitan Police,Dry,One way street,30,08:00,Urban,Fine no high winds,Car
200901BS70618,01-11-2021,Nov,2021,Sunday,Auto traffic signal,T or staggered junction,Slight,51.499011,Daylight,Kensington and Chelsea,None,-0.198558,2,2,Metropolitan Police,Dry,Single carriageway,30,15:21,Urban,Fine + high winds,Car
200901BS70619,28-10-2021,Oct,2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,51.506185,Darkness - lights lit,Kensington and Chelsea,None,-0.208938,1,3,Metropolitan Police,Dry,Single carriageway,30,20:00,Urban,Fine no high winds,Car
200901BS70620,28-10-2021,Oct,2021,Wednesday,Give way or uncontrolled,T or staggered junction,Serious,51.48885,Darkness - lights lit,Kensington and Chelsea,None,-0.175335,1,2,Metropolitan Police,Dry,Single carriageway,30,19:00,Urban,Fine no high winds,Car
200901BS70621,21-10-2021,Oct,2021,Wednesday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.503127,Daylight,Kensington and Chelsea,None,-0.214822,2,1,Metropolitan Police,Dry,Single carriageway,30,08:20,Urban,Fine no high winds,Goods 7.5 tonnes mgw and over
200901BS70622,28-10-2021,Oct,2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,51.499355,Daylight,Kensington and Chelsea,None,-0.197535,1,2,Metropolitan Police,Dry,Single carriageway,30,13:44,Urban,Fine no high winds,Car
200901BS70623,20-10-2021,Oct,2021,Tuesday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.514609,Daylight,Kensington and Chelsea,None,-0.195348,1,2,Metropolitan Police,Dry,Single carriageway,30,17:15,Urban,Fine no high winds,Car
200901BS70624,29-10-2021,Oct,2021,Thursday,Give way or uncontrolled,T or staggered junction,Slight,51.522162,Daylight,Kensington and Chelsea,None,-0.212924,1,2,Metropolitan Police,Dry,Single carriageway,30,14:55,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
200901BS70625,01-11-2021,Nov,2021,Sunday,Give way or uncontrolled,Roundabout,Slight,51.497242,Darkness - lights lit,Kensington and Chelsea,None,-0.194593,1,2,Metropolitan Police,Dry,Roundabout,30,18:55,Urban,Fine no high winds,Goods 7.5 tonnes mgw and over
200901BS70626,24-10-2021,Oct,2021,Saturday,Give way or uncontrolled,Crossroads,Slight,51.515838,Darkness - lights lit,Kensington and Chelsea,None,-0.2051,1,1,Metropolitan Police,Wet or damp,One way street,30,15:50,Urban,Raining no high winds,Motorcycle over 500cc
200901BS70627,01-11-2021,Nov,2021,Sunday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.488898,Daylight,Kensington and Chelsea,None,-0.190025,1,1,Metropolitan Police,Wet or damp,One way street,30,08:30,Urban,Raining no high winds,Van / Goods 3.5 tonnes mgw or under
200901BS70628,03-11-2021,Nov,2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,51.482637,Daylight,Kensington and Chelsea,None,-0.186385,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,07:58,Urban,Raining no high winds,Van / Goods 3.5 tonnes mgw or under
200901BS70629,23-10-2021,Oct,2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.511036,Daylight,Kensington and Chelsea,None,-0.19693,1,1,Metropolitan Police,Dry,Single carriageway,30,11:20,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
200901BS70630,04-11-2021,Nov,2021,Wednesday,Give way or uncontrolled,Crossroads,Slight,51.494521,Daylight,Kensington and Chelsea,None,-0.158397,1,2,Metropolitan Police,Dry,Single carriageway,30,08:25,Urban,Fine no high winds,Car
200901BS70631,02-11-2021,Nov,2021,Monday,Give way or uncontrolled,T or staggered junction,Slight,51.503587,Darkness - lights lit,Kensington and Chelsea,None,-0.192037,1,1,Metropolitan Police,Dry,Single carriageway,30,20:53,Urban,Fine no high winds,Car
200901BS70633,07-11-2021,Nov,2021,Saturday,Give way or uncontrolled,T or staggered junction,Slight,51.526246,Daylight,Kensington and Chelsea,None,-0.215359,1,2,Metropolitan Police,Dry,Single carriageway,30,11:34,Urban,Fine no high winds,Motorcycle over 500cc
200901BS70634,31-10-2021,Oct,2021,Saturday,Give way or uncontrolled,T or staggered junction,Slight,51.510993,Darkness - lights lit,Kensington and Chelsea,None,-0.199958,1,1,Metropolitan Police,Dry,Single carriageway,30,20:45,Urban,Fine no high winds,Car
200901BS70635,28-10-2021,Oct,2021,Wednesday,Auto traffic signal,Roundabout,Slight,51.514915,Darkness - lights lit,Hammersmith and Fulham,None,-0.221279,1,3,Metropolitan Police,Dry,Dual carriageway,50,17:25,Urban,Fine no high winds,Car
200901BS70636,05-11-2021,Nov,2021,Thursday,Give way or uncontrolled,Crossroads,Slight,51.48342,Darkness - lights lit,Kensington and Chelsea,None,-0.167342,1,1,Metropolitan Police,Dry,Single carriageway,30,22:10,Urban,Fine no high winds,Car
200901BS70637,31-10-2021,Oct,2021,Saturday,Give way or uncontrolled,T or staggered junction,Slight,51.480545,Darkness - lights lit,Kensington and Chelsea,None,-0.184883,1,2,Metropolitan Police,Dry,Single carriageway,30,04:50,Urban,Fine no high winds,Car
200901BS70638,23-10-2021,Oct,2021,Friday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.497316,Darkness - lights lit,Kensington and Chelsea,None,-0.164623,1,1,Metropolitan Police,Dry,Single carriageway,30,00:05,Urban,Fine no high winds,Car
200901BS70639,31-10-2021,Oct,2021,Saturday,Auto traffic signal,T or staggered junction,Slight,51.49472,Darkness - lights lit,Kensington and Chelsea,None,-0.182736,1,2,Metropolitan Police,Dry,Single carriageway,30,19:40,Urban,Fine no high winds,Car
200901BS70640,06-11-2021,Nov,2021,Friday,Auto traffic signal,T or staggered junction,Slight,51.508884,Daylight,Kensington and Chelsea,None,-0.197303,1,1,Metropolitan Police,Dry,Dual carriageway,30,12:20,Urban,Fine no high winds,Car
200901BS70641,06-11-2021,Nov,2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.492277,Darkness - lights lit,Kensington and Chelsea,None,-0.193349,1,1,Metropolitan Police,Dry,One way street,30,06:33,Urban,Fine no high winds,Motorcycle 125cc and under
200901BS70642,05-11-2021,Nov,2021,Thursday,Auto traffic signal,Crossroads,Slight,51.495117,Darkness - lights lit,Kensington and Chelsea,None,-0.1735,1,2,Metropolitan Police,Dry,Single carriageway,30,17:49,Urban,Fine no high winds,Car
200901BS70643,28-10-2021,Oct,2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,51.497911,Daylight,Kensington and Chelsea,None,-0.179727,1,2,Metropolitan Police,Dry,Single carriageway,30,07:10,Urban,Fine no high winds,Car
200901BS70644,06-11-2021,Nov,2021,Friday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.481993,Darkness - lights lit,Kensington and Chelsea,None,-0.17388,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,16:47,Urban,Raining no high winds,Car
200901BS70645,31-10-2021,Oct,2021,Saturday,Give way or uncontrolled,Crossroads,Slight,51.517478,Daylight,Kensington and Chelsea,None,-0.206477,1,1,Metropolitan Police,Dry,One way street,30,15:20,Urban,Fine no high winds,Car
200901BS70646,24-10-2021,Oct,2021,Saturday,Give way or uncontrolled,T or staggered junction,Slight,51.502379,Daylight,Kensington and Chelsea,None,-0.20707,1,1,Metropolitan Police,Dry,Single carriageway,30,16:30,Urban,Fine no high winds,Car
200901BS70647,06-11-2021,Nov,2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.50186,Darkness - lights lit,Kensington and Chelsea,None,-0.185045,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,18:24,Urban,Raining no high winds,Car
200901BS70648,10-11-2021,Nov,2021,Tuesday,Auto traffic signal,Crossroads,Slight,51.492839,Daylight,Kensington and Chelsea,None,-0.200674,1,1,Metropolitan Police,Dry,One way street,30,13:02,Urban,Fine no high winds,Car
200901BS70649,05-11-2021,Nov,2021,Thursday,Give way or uncontrolled,T or staggered junction,Slight,51.515991,Darkness - lights lit,Kensington and Chelsea,None,-0.203365,1,4,Metropolitan Police,Wet or damp,Single carriageway,30,23:49,Urban,Fine no high winds,Car
200901BS70650,06-11-2021,Nov,2021,Friday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.487281,Daylight,Kensington and Chelsea,None,-0.195995,1,2,Metropolitan Police,Dry,Single carriageway,30,07:30,Urban,Fine no high winds,Car
200901BS70651,03-11-2021,Nov,2021,Tuesday,Auto traffic signal,Crossroads,Slight,51.494377,Daylight,Kensington and Chelsea,None,-0.195427,1,3,Metropolitan Police,Wet or damp,Single carriageway,30,08:30,Urban,Raining no high winds,Car
200901BS70653,11-11-2021,Nov,2021,Wednesday,Auto traffic signal,Crossroads,Slight,51.492747,Darkness - lights lit,Kensington and Chelsea,None,-0.200533,1,1,Metropolitan Police,Wet or damp,Dual carriageway,30,23:00,Urban,Raining + high winds,Motorcycle over 500cc
200901BS70654,12-11-2021,Nov,2021,Thursday,Give way or uncontrolled,Crossroads,Slight,51.49296,Darkness - lights lit,Kensington and Chelsea,None,-0.167824,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,17:10,Urban,Raining no high winds,Car
200901BS70655,11-11-2021,Nov,2021,Wednesday,Auto traffic signal,Crossroads,Serious,51.495662,Daylight,Kensington and Chelsea,None,-0.17391,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,09:54,Urban,Fine no high winds,Car
200901BS70657,31-10-2021,Oct,2021,Saturday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.517809,Darkness - lights lit,Kensington and Chelsea,None,-0.2105,1,1,Metropolitan Police,Dry,Single carriageway,40,03:00,Urban,Fine no high winds,Car
200901BS70658,13-11-2021,Nov,2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.485617,Daylight,Kensington and Chelsea,None,-0.181369,1,2,Metropolitan Police,Dry,Single carriageway,30,09:10,Urban,Fine no high winds,Car
